id,name,pointType,river,section,lat,lng,usgsSite,tempMethod,tempUpstreamId,tempDownstreamId,tempAuxId,tempGainPerMile,tempConfidence,tempRationale,accessType,suitability,note
glenwood-colorado-usgs,"Colorado River Below Glenwood Springs, CO",gauge,Colorado River,Two Rivers to New Castle,39.555000,-107.336944,09085100,observed_station,glenwood-colorado-usgs,,,0.00,high,Direct Colorado River gauge at Glenwood should be treated as the truth source for this point,USGS gauge access,Colorado mainstem monitoring station below Glenwood Springs,USGS 09085100 sits below Glenwood Springs and is a strong live flow reference point on the Colorado.
colorado-abv-rf-glenwood-usgs,"Colorado R Abv Roaring Fork R at Glenwood Spgs, CO",gauge,Colorado River,Two Rivers to New Castle,39.549722,-107.330278,393259107194801,observed_station,colorado-abv-rf-glenwood-usgs,,,0.00,high,Colorado gauge above the Roaring Fork confluence should be treated as a direct observed source for this confluence reference point,USGS gauge access,Colorado mainstem monitoring station above the Roaring Fork confluence,USGS 393259107194801 sits on the Colorado just above the Roaring Fork at Glenwood Springs and is a useful confluence reference point.
colorado-above-glenwood-usgs,"Colorado River Above Glenwood Springs, CO",gauge,Colorado River,Two Rivers to New Castle,39.558889,-107.290278,09071750,observed_station,colorado-above-glenwood-usgs,,,0.00,high,Colorado gauge above Glenwood Springs should be treated as a direct observed temperature source for the upper Glenwood mainstem,USGS gauge access,Colorado mainstem monitoring station above Glenwood Springs,USGS 09071750 sits on the Colorado above Glenwood Springs and provides another upstream mainstem reference point.
south-canyon-below-usgs,"Colorado R Blw South Canyon CR NR Glenwood Spgs CO",gauge,Colorado River,South Canyon Wade Water,39.565300,-107.418500,09085160,observed_station,south-canyon-below-usgs,,,0.00,high,South Canyon downstream gauge should be treated as a direct observed temperature source for this reach,USGS gauge access,Colorado mainstem monitoring station below South Canyon Creek,USGS 09085160 sits on the Colorado below South Canyon Creek near Glenwood Springs and is a useful South Canyon reach reference point.
grizzly-creek-gauge,"Grizzly Creek NR Grizzly Lake NR Glenwood Spgs, CO",gauge,Grizzly Creek,Glenwood Canyon Tributary Reach,39.717628,-107.317719,09071295,observed_station,grizzly-creek-gauge,,,0.00,high,Grizzly Creek gauge should be treated as a direct observed tributary flow source for Glenwood Canyon runoff context,USGS gauge access,High-elevation Grizzly Creek monitoring station above Glenwood Canyon,USGS 09071295 sits on upper Grizzly Creek and is a small tributary truth source for Glenwood Canyon runoff contribution.
glenwood-usgs,"Roaring Fork River at Glenwood Springs, Co.",gauge,Roaring Fork River,Glenwood Canyon Mouth,39.546667,-107.330833,09085000,observed_station,glenwood-usgs,,,0.00,high,Direct Roaring Fork gauge at Glenwood should be treated as the truth source for this point,USGS gauge access,Live Glenwood Roaring Fork monitoring station and river reference point,USGS 09085000 sits near the mouth of the Roaring Fork at Glenwood Springs and reports live flow temperature and turbidity.
Dotsero,CO River near dotsero,gauge,Colorado River,Glenwood Canyon Mouth,39.6449,-107.078,09070500,observed_station,Dotsero,,,0.00,high,Dotsero gauge should be treated as the direct upstream Colorado truth source,USGS gauge access,Colorado mainstem monitoring station near Dotsero,USGS 09070500 is a Colorado River monitoring reference near Dotsero.
ruedi-gauge,"Fryingpan River Near Ruedi, Co.",gauge,Fryingpan River,Ruedi Tailwater,39.365556,-106.825000,09080400,observed_station,ruedi-gauge,,,0.00,high,Ruedi tailwater gauge should use direct observed temperature whenever available,USGS gauge access,Technical tailwater pocket water and seam fishing,USGS 09080400 sits just below Ruedi Dam and works well as an upper Fryingpan reference point.
ruedi-reservoir,"Ruedi Reservoir",gauge,Ruedi Reservoir,Ruedi Tailwater,39.363890,-106.818050,,observed_station,ruedi-reservoir,,,0.00,medium,Ruedi Reservoir point is a reservoir-level monitoring location driven by Bureau of Reclamation pool elevation data rather than a standard river gauge,Reservoir monitoring station,Current reservoir pool level and storage context,Ruedi Reservoir monitoring point using Bureau of Reclamation pool elevation data.
rifle-gap-reservoir,"Rifle Gap Reservoir Near Rifle, CO",gauge,Rifle Gap Reservoir,Rifle Gap Reservoir,39.626944,-107.756944,09091900,observed_station,rifle-gap-reservoir,,,0.00,medium,Rifle Gap Reservoir point is a reservoir-level monitoring location driven by USGS lake elevation and storage data rather than a standard river gauge,Reservoir monitoring station,Current reservoir pool level and storage context,Rifle Gap Reservoir monitoring point using USGS lake elevation and storage data.
